type,A,B,C,D,a,b,c,d,e
1,140.8117793,103.5622132,76.43778675,97.15667449,32.71835922,43.12744666,80.14335134,80.0938295,57.68428194
1,167.4372991,75.10332477,104.8966752,79.811048,29.26350897,69.76939344,56.40263141,92.48500991,48.91332756
1,142.6639674,61.11106392,118.8889361,97.70933636,31.70359845,75.25515925,84.38517824,52.29595812,55.15475896
1,123.7701996,92.25717019,87.74282981,123.4781475,29.26350897,71.97485635,65.17497751,63.8267594,48.91332756
1,157.8694274,102.2029122,77.79708785,134.4610237,76.45901008,35.19727642,128.5878754,38.13038279,135.7366455
1,170.5678504,66.7046627,113.2953373,56.02110975,39.15520196,49.13376264,73.00783369,99.75642717,73.12615871
1,167.5510984,68.41748288,111.5825171,59.03786173,39.15520196,46.30871484,76.51115901,94.02072406,73.12615871
1,131.5871045,103.9789009,76.02109911,123.2439848,61.16745079,26.77604006,131.2362703,45.59163577,97.56710276
1,127.6319829,102.2029122,77.79708785,151.4466076,100.0598603,35.19727642,128.5878754,38.13038279,97.159704
1,132.524614,109.8383166,70.16168338,149.4631385,85.68230294,36.45584275,128.9990886,39.49382964,114.5396854
1,172.2589605,100.6043552,79.39564484,122.3545783,71.88389351,38.37400527,86.23006813,77.91085919,88.87207899
1,134.903152,66.00322271,113.9967773,115.4992562,28.33220208,82.8,67.86574983,55.2,46.45767431
1,105.8931563,92.9898214,87.0101786,141.3551908,29.26350897,88.90593262,58.77079435,61.78208877,48.91332756
1,147.8288555,124.5396318,55.46036818,90.13959828,32.71835922,24.28599876,91.17625823,103.5350474,57.68428194
1,142.1726187,69.0522355,110.9477645,109.4699391,54.58696774,56.95448193,125.5201725,25.5882455,88.82618311
1,151.7122317,82.93044923,97.06955077,76.47373612,38.04789395,38.10511777,87.26598136,77.36493607,70.52787994
1,126.8603906,115.499288,64.50071201,155.1273619,85.68230294,37.89666472,129.3278004,41.05472012,114.5396854
1,110.6102315,124.5112969,55.4887031,144.2208578,61.16745079,29.83402462,138.7067177,50.79847435,97.56710276
1,133.2129776,96.14305414,83.85694586,93.37598253,39.15520196,32.44875544,102.1225042,65.8808065,73.12615871
1,153.7122317,81.3509045,98.6490955,74.47373612,38.04789395,38.91288731,85.78031324,79.00495303,70.52787994
1,140.7122317,92.060802,87.939198,87.47373612,38.04789395,34.90148248,94.61305053,70.86058564,70.52787994
1,109.4808816,84.08442248,95.91557752,144.3465407,27.43040006,95.90664096,51.80095638,63.93776064,44.03129312
1,159.7782825,102.2029122,77.79708785,133.8685166,75.99942405,35.19727642,128.5878754,38.13038279,137.8950464
1,142.1726187,64.29390109,115.7060989,109.4699391,54.58696774,62.73247285,130.1000254,19.81025458,88.82618311
1,158.5775528,74.68358884,105.3164112,68.01140737,39.15520196,40.12668595,85.13167596,81.46933208,73.12615871
1,146.7122317,87.00175325,92.99824675,81.47373612,38.04789395,36.41147133,90.75500999,73.92632057,70.52787994
1,146.6699955,55.79939389,124.2006061,91.29845825,32.71835922,76.14322544,91.46322602,50.7621503,57.68428194
1,100.5417938,137.315201,42.68479899,157.6666662,59.4441319,37.90649549,138.2140716,64.54349231,92.79990227
1,140.8117793,40.22665745,139.7733426,97.15667449,32.71835922,98.57702093,120.6365087,24.64425523,57.68428194
1,119.9845552,95.68640697,84.31359303,162.0031973,114.5396854,42.53004234,126.3039805,30.79761687,85.68230294
