k, x, p
1,3.93E-05,0.995
1,1.57E-04,0.99
1,9.82E-04,0.975
1,0.00393,0.95
1,0.0157,0.9
1,0.102,0.75
1,0.455,0.5
1,1.323,0.25
1,2.706,0.1
1,3.841,0.05
1,5.024,0.025
1,6.635,0.01
1,7.879,0.005
1,9.55,0.002
2,0.01,0.995
2,0.0201,0.99
2,0.0506,0.975
2,0.103,0.95
2,0.211,0.9
2,0.575,0.75
2,1.386,0.5
2,2.773,0.25
2,4.605,0.1
2,5.991,0.05
2,7.378,0.025
2,9.21,0.01
2,10.597,0.005
2,12.429,0.002
3,0.0717,0.995
3,0.115,0.99
3,0.216,0.975
3,0.352,0.95
3,0.584,0.9
3,1.213,0.75
3,2.366,0.5
3,4.108,0.25
3,6.251,0.1
3,7.815,0.05
3,9.348,0.025
3,11.345,0.01
3,12.838,0.005
3,14.796,0.002
4,0.207,0.995
4,0.297,0.99
4,0.484,0.975
4,0.711,0.95
4,1.064,0.9
4,1.923,0.75
4,3.357,0.5
4,5.385,0.25
4,7.779,0.1
4,9.488,0.05
4,11.143,0.025
4,13.277,0.01
4,14.86,0.005
4,16.924,0.002
5,0.412,0.995
5,0.554,0.99
5,0.831,0.975
5,1.145,0.95
5,1.61,0.9
5,2.675,0.75
5,4.351,0.5
5,6.626,0.25
5,9.236,0.1
5,11.07,0.05
5,12.833,0.025
5,15.086,0.01
5,16.75,0.005
5,18.907,0.002
6,0.676,0.995
6,0.872,0.99
6,1.237,0.975
6,1.635,0.95
6,2.204,0.9
6,3.455,0.75
6,5.348,0.5
6,7.841,0.25
6,10.645,0.1
6,12.592,0.05
6,14.449,0.025
6,16.812,0.01
6,18.548,0.005
6,20.791,0.002
7,0.989,0.995
7,1.239,0.99
7,1.69,0.975
7,2.167,0.95
7,2.833,0.9
7,4.255,0.75
7,6.346,0.5
7,9.037,0.25
7,12.017,0.1
7,14.067,0.05
7,16.013,0.025
7,18.475,0.01
7,20.278,0.005
7,22.601,0.002
8,1.344,0.995
8,1.646,0.99
8,2.18,0.975
8,2.733,0.95
8,3.49,0.9
8,5.071,0.75
8,7.344,0.5
8,10.219,0.25
8,13.362,0.1
8,15.507,0.05
8,17.535,0.025
8,20.09,0.01
8,21.955,0.005
8,24.352,0.002
9,1.735,0.995
9,2.088,0.99
9,2.7,0.975
9,3.325,0.95
9,4.168,0.9
9,5.899,0.75
9,8.343,0.5
9,11.389,0.25
9,14.684,0.1
9,16.919,0.05
9,19.023,0.025
9,21.666,0.01
9,23.589,0.005
9,26.056,0.002
10,2.156,0.995
10,2.558,0.99
10,3.247,0.975
10,3.94,0.95
10,4.865,0.9
10,6.737,0.75
10,9.342,0.5
10,12.549,0.25
10,15.987,0.1
10,18.307,0.05
10,20.483,0.025
10,23.209,0.01
10,25.188,0.005
10,27.722,0.002
11,2.603,0.995
11,3.053,0.99
11,3.816,0.975
11,4.575,0.95
11,5.578,0.9
11,7.584,0.75
11,10.341,0.5
11,13.701,0.25
11,17.275,0.1
11,19.675,0.05
11,21.92,0.025
11,24.725,0.01
11,26.757,0.005
11,29.354,0.002
12,3.074,0.995
12,3.571,0.99
12,4.404,0.975
12,5.226,0.95
12,6.304,0.9
12,8.438,0.75
12,11.34,0.5
12,14.845,0.25
12,18.549,0.1
12,21.026,0.05
12,23.337,0.025
12,26.217,0.01
12,28.3,0.005
12,30.957,0.002
13,3.565,0.995
13,4.107,0.99
13,5.009,0.975
13,5.892,0.95
13,7.042,0.9
13,9.299,0.75
13,12.34,0.5
13,15.984,0.25
13,19.812,0.1
13,22.362,0.05
13,24.736,0.025
13,27.688,0.01
13,29.819,0.005
13,32.535,0.002
14,4.075,0.995
14,4.66,0.99
14,5.629,0.975
14,6.571,0.95
14,7.79,0.9
14,10.165,0.75
14,13.339,0.5
14,17.117,0.25
14,21.064,0.1
14,23.685,0.05
14,26.119,0.025
14,29.141,0.01
14,31.319,0.005
14,34.091,0.002
15,4.601,0.995
15,5.229,0.99
15,6.262,0.975
15,7.261,0.95
15,8.547,0.9
15,11.037,0.75
15,14.339,0.5
15,18.245,0.25
15,22.307,0.1
15,24.996,0.05
15,27.488,0.025
15,30.578,0.01
15,32.801,0.005
15,35.628,0.002
16,5.142,0.995
16,5.812,0.99
16,6.908,0.975
16,7.962,0.95
16,9.312,0.9
16,11.912,0.75
16,15.338,0.5
16,19.369,0.25
16,23.542,0.1
16,26.296,0.05
16,28.845,0.025
16,32,0.01
16,34.267,0.005
16,37.146,0.002
17,5.697,0.995
17,6.408,0.99
17,7.564,0.975
17,8.672,0.95
17,10.085,0.9
17,12.792,0.75
17,16.338,0.5
17,20.489,0.25
17,24.769,0.1
17,27.587,0.05
17,30.191,0.025
17,33.409,0.01
17,35.718,0.005
17,38.648,0.002
18,6.265,0.995
18,7.015,0.99
18,8.231,0.975
18,9.39,0.95
18,10.865,0.9
18,13.675,0.75
18,17.338,0.5
18,21.605,0.25
18,25.989,0.1
18,28.869,0.05
18,31.526,0.025
18,34.805,0.01
18,37.156,0.005
18,40.136,0.002
19,6.844,0.995
19,7.633,0.99
19,8.907,0.975
19,10.117,0.95
19,11.651,0.9
19,14.562,0.75
19,18.338,0.5
19,22.718,0.25
