A, B, C, D, E
0,0,180,0,360
0,1,179,1,359
0,2,178,2,358
0,3,177,3,357
0,4,176,4,356
0,5,175,5,355
0,6,174,6,354
0,7,173,7,353
0,8,172,8,352
0,9,171,9,351
0,10,170,10,350
0,11,169,11,349
0,12,168,12,348
0,13,167,13,347
0,14,166,14,346
0,15,165,15,345
0,16,164,16,344
0,17,163,17,343
0,18,162,18,342
0,19,161,19,341
0,20,160,20,340
0,21,159,21,339
0,22,158,22,338
0,23,157,23,337
0,24,156,24,336
0,25,155,25,335
0,26,154,26,334
0,27,153,27,333
0,28,152,28,332
0,29,151,29,331
0,30,150,30,330
0,31,149,31,329
0,32,148,32,328
0,33,147,33,327
0,34,146,34,326
0,35,145,35,325
0,36,144,36,324
0,37,143,37,323
0,38,142,38,322
0,39,141,39,321
0,40,140,40,320
0,41,139,41,319
0,42,138,42,318
0,43,137,43,317
0,44,136,44,316
0,45,135,45,315
0,46,134,46,314
0,47,133,47,313
0,48,132,48,312
0,49,131,49,311
0,50,130,50,310
0,51,129,51,309
0,52,128,52,308
0,53,127,53,307
0,54,126,54,306
0,55,125,55,305
0,56,124,56,304
0,57,123,57,303
0,58,122,58,302
0,59,121,59,301
0,60,120,60,300
0,61,119,61,299
0,62,118,62,298
0,63,117,63,297
0,64,116,64,296
0,65,115,65,295
0,66,114,66,294
0,67,113,67,293
0,68,112,68,292
0,69,111,69,291
0,70,110,70,290
0,71,109,71,289
0,72,108,72,288
0,73,107,73,287
0,74,106,74,286
0,75,105,75,285
0,76,104,76,284
0,77,103,77,283
0,78,102,78,282
0,79,101,79,281
0,80,100,80,280
0,81,99,81,279
0,82,98,82,278
0,83,97,83,277
0,84,96,84,276
0,85,95,85,275
0,86,94,86,274
0,87,93,87,273
0,88,92,88,272
0,89,91,89,271
0,90,90,90,270
0,91,89,91,269
0,92,88,92,268
0,93,87,93,267
0,94,86,94,266
0,95,85,95,265
0,96,84,96,264
0,97,83,97,263
0,98,82,98,262
0,99,81,99,261
