n, t, prob
1, 0.4, -0.324919696234
1, 0.25, -1.00000000001
1, 0.1, -3.07768353721
1, 0.05, -6.3137515148
1, 0.025, -12.7062047364
1, 0.01, -31.8205159538
1, 0.005, -63.6567411629
1, 0.001, -318.308838986
1, 0.0005, -636.619249432
2, 0.4, -0.288675134688
2, 0.25, -0.816496580928
2, 0.1, -1.88561808316
2, 0.05, -2.91998558036
2, 0.025, -4.30265272991
2, 0.01, -6.96455671876
2, 0.005, -9.92484320092
2, 0.001, -22.32712477
2, 0.0005, -31.599054577
3, 0.4, -0.276670662305
3, 0.25, -0.764892328081
3, 0.1, -1.63774435722
3, 0.05, -2.3533634348
3, 0.025, -3.18244630528
3, 0.01, -4.5407028587
3, 0.005, -5.84090929976
3, 0.001, -10.2145318524
3, 0.0005, -12.9239786366
4, 0.4, -0.270722294706
4, 0.25, -0.740697084091
4, 0.1, -1.53320627371
4, 0.05, -2.13184678134
4, 0.025, -2.7764451052
4, 0.01, -3.74694738798
4, 0.005, -4.60409487142
4, 0.001, -7.17318221492
4, 0.0005, -8.61030158138
5, 0.4, -0.267180865704
5, 0.25, -0.726686843798
5, 0.1, -1.47588404878
5, 0.05, -2.01504837267
5, 0.025, -2.57058183661
5, 0.01, -3.36492999891
5, 0.005, -4.03214298356
5, 0.001, -5.89342953292
5, 0.0005, -6.86882663987
6, 0.4, -0.264834532934
6, 0.25, -0.717558196491
6, 0.1, -1.43975574726
6, 0.05, -1.94318028039
6, 0.025, -2.44691184879
6, 0.01, -3.14266840329
6, 0.005, -3.70742802132
6, 0.001, -5.20762623884
6, 0.0005, -5.95881617993
7, 0.4, -0.263166861352
7, 0.25, -0.711141778082
7, 0.1, -1.41492392765
7, 0.05, -1.89457860506
7, 0.025, -2.36462425101
7, 0.01, -2.99795156687
7, 0.005, -3.49948329735
7, 0.001, -4.78528962865
7, 0.0005, -5.40788252098
8, 0.4, -0.261921096749
8, 0.25, -0.706386612645
8, 0.1, -1.39681530974
8, 0.05, -1.85954803752
8, 0.025, -2.30600413503
8, 0.01, -2.89645944276
8, 0.005, -3.35538733133
8, 0.001, -4.50079093373
8, 0.0005, -5.04130543339
9, 0.4, -0.260955336474
9, 0.25, -0.702722146751
9, 0.1, -1.3830287384
9, 0.05, -1.83311293265
9, 0.025, -2.26215716274
9, 0.01, -2.8214379233
9, 0.005, -3.24983554402
9, 0.001, -4.29680566273
9, 0.0005, -4.78091258593
10, 0.4, -0.260184829492
10, 0.25, -0.699812061312
10, 0.1, -1.37218364111
10, 0.05, -1.81246112281
10, 0.025, -2.22813885196
10, 0.01, -2.76376945745
10, 0.005, -3.16927266718
10, 0.001, -4.14370049405
10, 0.0005, -4.5868938587
11, 0.4, -0.259555860476
11, 0.25, -0.69744532756
11, 0.1, -1.36343031802
11, 0.05, -1.7958848187
11, 0.025, -2.20098516008
11, 0.01, -2.71807918354
11, 0.005, -3.10580651322
11, 0.001, -4.02470103763
11, 0.0005, -4.43697933823
12, 0.4, -0.259032745677
12, 0.25, -0.695482865512
12, 0.1, -1.35621733402
12, 0.05, -1.78228755565
12, 0.025, -2.17881282966
12, 0.01, -2.680997993
12, 0.005, -3.05453958834
12, 0.001, -3.92963326463
12, 0.0005, -4.31779128361
13, 0.4, -0.258590857712
13, 0.25, -0.693829304235
13, 0.1, -1.35017128878
13, 0.05, -1.77093339599
13, 0.025, -2.16036865646
13, 0.01, -2.65030883785
13, 0.005, -3.01227583821
13, 0.001, -3.85198239117
13, 0.0005, -4.22083172771
14, 0.4, -0.258212653889
14, 0.25, -0.69241706957
14, 0.1, -1.34503037445
14, 0.05, -1.76131013577
14, 0.025, -2.14478668792
14, 0.01, -2.62449406756
14, 0.005, -2.97684273411
14, 0.001, -3.7873902439
14, 0.0005, -4.14045411274
15, 0.4, -0.257885300937
15, 0.25, -0.691196948958
15, 0.1, -1.34060560785
15, 0.05, -1.75305035569
15, 0.025, -2.13144954556
15, 0.01, -2.602480295
15, 0.005, -2.94671288334
15, 0.001, -3.73283441853
15, 0.0005, -4.0727651959
16, 0.4, -0.257599194855
16, 0.25, -0.690132253811
16, 0.1, -1.33675716733
16, 0.05, -1.74588367628
16, 0.025, -2.11990529922
16, 0.01, -2.58348718527
16, 0.005, -2.92078162235
16, 0.001, -3.6861547889
16, 0.0005, -4.0149963326
17, 0.4, -0.257347005459
17, 0.25, -0.689195075154
17, 0.1, -1.33337938972
17, 0.05, -1.73960672608
17, 0.025, -2.10981557783
17, 0.01, -2.56693398372
17, 0.005, -2.89823051963
17, 0.001, -3.64576737789
17, 0.0005, -3.96512626361
18, 0.4, -0.257123042098
18, 0.25, -0.688363806466
18, 0.1, -1.33039094357
18, 0.05, -1.73406360662
18, 0.025, -2.10092204024
18, 0.01, -2.55237963018
18, 0.005, -2.87844047271
18, 0.001, -3.61048488353
18, 0.0005, -3.92164582001
19, 0.4, -0.256922820363
19, 0.25, -0.687621459782
19, 0.1, -1.32772820903
19, 0.05, -1.72913281152
19, 0.025, -2.09302405441
19, 0.01, -2.53948319062
19, 0.005, -2.86093460645
19, 0.001, -3.57940014816
19, 0.0005, -3.88340584948
20, 0.4, -0.256742754292
20, 0.25, -0.686954495343
20, 0.1, -1.32534070699
20, 0.05, -1.72471824292
20, 0.025, -2.08596344727
20, 0.01, -2.52797700274
20, 0.005, -2.84533970978
20, 0.001, -3.55180834271
20, 0.0005, -3.84951627298
21, 0.4, -0.256579948173
21, 0.25, -0.686351989116
21, 0.1, -1.32318787387
21, 0.05, -1.72074290281
