n, x, pi, p
1, 0,0.01, 0.99
1, 0,0.05, 0.95
1, 0,0.1, 0.9
1, 0,0.15, 0.85
1, 0,0.2, 0.8
1, 0,0.25, 0.75
1, 0,0.3, 0.7
1, 0,0.35, 0.65
1, 0,0.4, 0.6
1, 0,0.45, 0.55
1, 0,0.5, 0.5
1, 1,0.01, 0.01
1, 1,0.05, 0.05
1, 1,0.1, 0.1
1, 1,0.15, 0.15
1, 1,0.2, 0.2
1, 1,0.25, 0.25
1, 1,0.3, 0.3
1, 1,0.35, 0.35
1, 1,0.4, 0.4
1, 1,0.45, 0.45
1, 1,0.5, 0.5
2, 0,0.01, 0.9801
2, 0,0.05, 0.9025
2, 0,0.1, 0.81
2, 0,0.15, 0.7225
2, 0,0.2, 0.64
2, 0,0.25, 0.5625
2, 0,0.3, 0.49
2, 0,0.35, 0.4225
2, 0,0.4, 0.36
2, 0,0.45, 0.3025
2, 0,0.5, 0.25
2, 1,0.01, 0.0198
2, 1,0.05, 0.095
2, 1,0.1, 0.18
2, 1,0.15, 0.255
2, 1,0.2, 0.32
2, 1,0.25, 0.375
2, 1,0.3, 0.42
2, 1,0.35, 0.455
2, 1,0.4, 0.48
2, 1,0.45, 0.495
2, 1,0.5, 0.5
2, 2,0.01, 0.0001
2, 2,0.05, 0.0025
2, 2,0.1, 0.01
2, 2,0.15, 0.0225
2, 2,0.2, 0.04
2, 2,0.25, 0.0625
2, 2,0.3, 0.09
2, 2,0.35, 0.1225
2, 2,0.4, 0.16
2, 2,0.45, 0.2025
2, 2,0.5, 0.25
3, 0,0.01, 0.970299
3, 0,0.05, 0.857375
3, 0,0.1, 0.729
3, 0,0.15, 0.614125
3, 0,0.2, 0.512
3, 0,0.25, 0.421875
3, 0,0.3, 0.343
3, 0,0.35, 0.274625
3, 0,0.4, 0.216
3, 0,0.45, 0.166375
3, 0,0.5, 0.125
3, 1,0.01, 0.029403
3, 1,0.05, 0.135375
3, 1,0.1, 0.243
3, 1,0.15, 0.325125
3, 1,0.2, 0.384
3, 1,0.25, 0.421875
3, 1,0.3, 0.441
3, 1,0.35, 0.443625
3, 1,0.4, 0.432
3, 1,0.45, 0.408375
3, 1,0.5, 0.375
3, 2,0.01, 0.000297
3, 2,0.05, 0.007125
3, 2,0.1, 0.027
3, 2,0.15, 0.057375
3, 2,0.2, 0.096
3, 2,0.25, 0.140625
3, 2,0.3, 0.189
3, 2,0.35, 0.238875
3, 2,0.4, 0.288
3, 2,0.45, 0.334125
3, 2,0.5, 0.375
3, 3,0.01, 1e-06
3, 3,0.05, 0.000125
3, 3,0.1, 0.001
3, 3,0.15, 0.003375
3, 3,0.2, 0.008
3, 3,0.25, 0.015625
3, 3,0.3, 0.027
3, 3,0.35, 0.042875
3, 3,0.4, 0.064
3, 3,0.45, 0.091125
3, 3,0.5, 0.125
4, 0,0.01, 0.96059601
4, 0,0.05, 0.81450625
4, 0,0.1, 0.6561
4, 0,0.15, 0.52200625
4, 0,0.2, 0.4096
4, 0,0.25, 0.31640625
4, 0,0.3, 0.2401
4, 0,0.35, 0.17850625
4, 0,0.4, 0.1296
4, 0,0.45, 0.09150625
4, 0,0.5, 0.0625
4, 1,0.01, 0.03881196
4, 1,0.05, 0.171475
4, 1,0.1, 0.2916
4, 1,0.15, 0.368475
4, 1,0.2, 0.4096
4, 1,0.25, 0.421875
4, 1,0.3, 0.4116
4, 1,0.35, 0.384475
4, 1,0.4, 0.3456
4, 1,0.45, 0.299475
4, 1,0.5, 0.25
4, 2,0.01, 0.00058806
4, 2,0.05, 0.0135375
4, 2,0.1, 0.0486
4, 2,0.15, 0.0975375
4, 2,0.2, 0.1536
4, 2,0.25, 0.2109375
4, 2,0.3, 0.2646
4, 2,0.35, 0.3105375
4, 2,0.4, 0.3456
4, 2,0.45, 0.3675375
4, 2,0.5, 0.375
4, 3,0.01, 3.96e-06
4, 3,0.05, 0.000475
4, 3,0.1, 0.0036
4, 3,0.15, 0.011475
4, 3,0.2, 0.0256
4, 3,0.25, 0.046875
4, 3,0.3, 0.0756
4, 3,0.35, 0.111475
4, 3,0.4, 0.1536
4, 3,0.45, 0.200475
4, 3,0.5, 0.25
4, 4,0.01, 1e-08
4, 4,0.05, 6.25e-06
4, 4,0.1, 0.0001
4, 4,0.15, 0.00050625
4, 4,0.2, 0.0016
4, 4,0.25, 0.00390625
4, 4,0.3, 0.0081
4, 4,0.35, 0.01500625
4, 4,0.4, 0.0256
4, 4,0.45, 0.04100625
4, 4,0.5, 0.0625
5, 0,0.01, 0.9509900499
5, 0,0.05, 0.7737809375
5, 0,0.1, 0.59049
5, 0,0.15, 0.4437053125
5, 0,0.2, 0.32768
5, 0,0.25, 0.2373046875
5, 0,0.3, 0.16807
5, 0,0.35, 0.1160290625
5, 0,0.4, 0.07776
5, 0,0.45, 0.0503284375
5, 0,0.5, 0.03125
5, 1,0.01, 0.0480298005
5, 1,0.05, 0.2036265625
5, 1,0.1, 0.32805
5, 1,0.15, 0.3915046875
5, 1,0.2, 0.4096
5, 1,0.25, 0.3955078125
5, 1,0.3, 0.36015
5, 1,0.35, 0.3123859375
5, 1,0.4, 0.2592
5, 1,0.45, 0.2058890625
5, 1,0.5, 0.15625
5, 2,0.01, 0.000970299
5, 2,0.05, 0.021434375
5, 2,0.1, 0.0729
5, 2,0.15, 0.138178125
5, 2,0.2, 0.2048
